channel_id,last_date,status
UCZE5p7Ht5kYdCDW7COKso3w,2019-12-21 10:17:50,to do
UCi6jUonA8fpn_J_uvQAwm2g,2019-12-21 10:20:03,to do
UC4PI8VEr1ZaKn4TBcXoy3qg,2019-12-21 10:28:57,to do
UCZejHtl3suC3buLoD9uWayw,2019-12-21 10:31:11,to do
UC3EqioDsSJ5hEMhiJSlQr9Q,2019-12-21 10:33:25,to do
UCmcTAT6_-uyUr5S8Q7qxkuA,2019-12-21 10:33:25,to do
UCygdD2y9cpdrVteCcbjCpmA,2019-12-21 10:40:07,to do
UC4spC8EIeVaOyamP7Lj6ybA,2019-12-21 10:40:07,to do
UCLIKt3lkU3LvxyMWQnnHNYg,2019-12-21 10:40:07,to do
UC2_vIPPZtRtu5I9bfS62GQw,2019-12-21 10:46:50,to do
UCzTMWdo-wxySmYXAM4kYgaw,2019-12-21 10:53:35,to do
UCNqOgcrtjrCF9CQbBXVqBVw,,to do
UCA1uUcxG_I1gXSSpnA2Dr9g,2019-12-21 11:09:27,to do
UC8OrqJ3sKJi4vop6cm0prsQ,2019-12-21 11:14:01,to do
UCsFMrrF8gkrmjKjW1JXSV0g,2019-12-21 11:27:46,to do
UCtkmpuSfYi9R8Xeq9OrO6GA,2019-12-21 11:46:12,to do
UC6W4o1M1fg4Y3-_ATDGq8og,2019-12-21 11:50:52,to do
UC-ihtKdODqNE7iPISJD3DnA,2019-12-21 12:00:18,to do
UCayM50DpX0gk73GSK2iTqIw,2019-12-21 12:00:18,to do
UCaXupcZvG8NMZwbFO4vh4Tg,2019-12-21 12:02:39,to do
UCFdKAII_5OV6ZqVh4gEDvPw,2019-12-21 12:05:01,to do
UCAMKTtcWpjjeKJnmWytLfZQ,2019-12-21 12:05:01,to do
UCkLWcgFmQlUb_zfZe9e6vGQ,2019-12-21 12:05:01,to do
UCW3iVpk5l1EuJc8p2EIAFRQ,2019-12-21 12:09:44,to do
UC5RPku8GdNhJ5_fMlnw8TSA,2019-12-21 12:12:06,to do
UCpyZbCi6A7AvEbUG7vyL6sQ,2019-12-21 12:23:57,to do
UCc0FptEc3bUrLsgbYK6c3Bg,2019-12-21 12:33:29,to do
UCFzPjqIZJMW0WjKtkWvx-ww,2019-12-21 12:47:54,to do
UCbWS4Jrk5s0mwCcOarGZ46Q,2019-12-21 12:50:19,to do
UCxCHJzg6MzWLcfo5mIDxLOw,2019-12-21 13:19:43,to do
UCRPqod1o7yEdDL3LkgxGWMA,2019-12-21 13:19:43,to do
UCouavBpRe1LQkXGLr04TssQ,2019-12-21 13:22:11,to do
UCnwFDxIy78NxbNlgogysZ6Q,2019-12-21 13:24:38,to do
UC6HaecTogaWPubA2zfbmwpg,2019-12-21 13:32:03,to do
